,CO(Monóxido de Carbono) - ppm,MP10(Partículas Inaláveis) - µg/m3,MP2.5(Partículas Inaláveis Finas) - µg/m3,NO(Monóxido de Nitrogênio) - µg/m3,NO2(Dióxido de Nitrogênio) - µg/m3,NOx(Óxidos de Nitrogênio) - ppb,O3(Ozônio) - µg/m3,SO2(Dióxido de Enxofre) - µg/m3,Data,Casos Diários,Temperatura (°C),Temperatura Ponto Orvalho (°C),Umidade Relativa (%),Sensação Térmica (°C),Velocidade do Vento (Nós)
834,0.25,13.75,12.94,1634.0,368.0,1724.54,34.0,1.09,2013-04-14,1,16.85,14.0,83.43,16.85,8.77
835,0.45,27.0,18.0,1690.42,381.74,1786.56,16.75,1.6,2013-04-15,90,18.55,10.91,63.98,18.46,4.04
836,0.3,33.5,28.65,1744.83,395.09,1846.6,23.75,2.0,2013-04-16,63,19.21,11.33,62.21,19.16,6.46
837,0.35,33.0,34.15,1797.24,408.05,1904.67,29.75,6.0,2013-04-17,108,17.2,11.64,70.66,17.2,7.84
838,1.1,43.0,41.4,1847.68,420.64,1960.81,26.25,7.0,2013-04-18,122,17.04,12.08,73.84,17.04,7.46
839,1.5,37.0,48.9,1896.15,432.85,2015.02,29.5,6.0,2013-04-19,1,18.12,13.04,72.88,18.12,7.33
840,0.95,28.0,55.1,1942.69,444.68,2067.33,27.0,5.0,2013-04-20,47,17.71,11.54,68.64,17.71,7.92
841,0.8,27.5,58.48,1987.31,456.15,2117.75,29.75,6.0,2013-04-21,24,17.16,12.12,73.33,17.16,8.84
842,1.0,29.0,57.51,2030.03,467.24,2166.3,24.0,7.73,2013-04-22,141,17.62,11.58,68.89,17.6,8.75
843,1.2,33.0,50.66,2070.86,477.98,2213.0,11.5,12.0,2013-04-23,126,17.12,12.04,73.26,17.12,7.42
844,1.15,38.0,18.0,2109.84,488.35,2257.86,17.01,10.5,2013-04-24,1,17.62,12.27,72.21,17.62,6.58
845,1.0,47.0,21.5,2146.97,498.36,2300.91,9.5,11.5,2013-04-25,146,17.92,12.13,70.94,17.84,6.29
846,1.35,44.5,24.5,2182.27,508.02,2342.16,17.75,5.5,2013-04-26,156,19.24,12.24,65.6,19.24,5.04
847,1.3,46.0,32.0,2215.77,517.33,2381.63,43.5,6.0,2013-04-27,39,19.62,11.29,59.67,19.62,5.29
848,1.0,40.5,26.0,2247.48,526.3,2419.33,29.5,4.0,2013-04-28,45,18.08,12.8,73.07,18.08,5.36
849,1.5,44.5,24.5,2277.42,534.92,2455.29,11.5,5.0,2013-04-29,223,19.96,13.54,68.33,19.96,5.58
850,2.0,68.5,38.5,2305.61,543.2,2489.52,22.5,7.0,2013-04-30,189,22.37,14.42,62.78,22.37,3.83
851,1.3,61.0,42.5,2332.08,551.14,2522.05,26.0,11.0,2013-05-01,67,20.96,15.75,72.89,20.96,5.79
852,1.15,53.0,28.5,2356.83,558.75,2552.88,43.0,5.0,2013-05-02,2,20.48,15.4,73.91,20.48,5.32
853,1.3,54.5,32.5,2379.89,566.02,2582.04,2.25,5.0,2013-05-03,188,22.76,14.92,65.38,22.69,6.2
854,1.85,54.0,33.0,2401.28,572.97,2609.54,2.5,4.5,2013-05-04,45,24.42,13.58,52.59,24.35,5.83
855,0.95,41.0,26.5,2421.01,579.6,2635.41,50.0,5.0,2013-05-05,49,22.46,16.0,67.9,22.46,5.0
856,1.15,25.0,13.0,2439.11,585.91,2659.65,25.0,6.0,2013-05-06,259,17.25,11.33,69.27,17.25,6.67
857,1.2,38.5,20.0,2455.59,591.9,2682.3,3.5,4.5,2013-05-07,2,16.92,7.33,57.19,16.8,7.12
858,1.3,39.0,14.0,2470.48,597.57,2703.36,25.0,6.0,2013-05-08,194,15.96,7.17,57.21,15.96,7.75
859,1.25,52.0,22.5,2483.78,602.94,2722.85,3.25,6.0,2013-05-09,1,15.12,8.0,66.9,15.01,4.85
860,1.0,47.5,26.0,2495.53,608.0,2740.8,8.0,7.0,2013-05-10,201,16.0,10.72,72.64,15.95,5.4
861,1.1,43.0,25.5,2505.74,612.75,2757.21,7.5,5.0,2013-05-11,62,17.6,12.04,72.79,17.53,5.16
862,0.9,32.0,18.5,2514.43,617.21,2772.11,1.5,4.5,2013-05-12,47,20.0,11.2,59.55,19.95,4.88
863,1.4,51.0,24.5,2521.61,621.37,2785.52,0.5,8.53,2013-05-13,257,20.75,11.04,56.66,20.65,4.17
864,1.55,53.0,27.5,2527.31,625.23,2797.45,0.0,8.0,2013-05-14,198,21.54,12.38,57.82,21.54,4.88
865,1.8,49.0,20.5,2531.55,628.8,2807.92,0.0,6.5,2013-05-15,198,23.58,13.42,54.49,23.58,5.46
866,1.5,52.5,25.5,2534.34,632.09,2816.95,8.75,6.5,2013-05-16,191,22.67,14.67,61.61,22.67,5.17
867,1.4,21.0,14.0,2535.71,635.1,2824.56,21.0,5.0,2013-05-17,222,16.04,13.25,83.57,16.04,11.0
868,0.95,29.0,21.5,2535.67,637.82,2830.76,17.75,5.0,2013-05-18,71,17.38,13.33,77.5,17.38,7.21
869,0.65,21.5,13.0,2534.24,640.27,2835.57,19.0,3.0,2013-05-19,50,18.63,14.25,75.96,18.63,6.04
870,1.6,43.5,23.5,2531.44,642.44,2839.01,2.25,5.0,2013-05-20,290,21.04,14.75,68.42,21.04,4.54
871,1.2,28.5,16.5,2527.29,644.35,2841.11,11.0,5.0,2013-05-21,252,20.54,15.19,72.27,20.54,5.58
872,1.35,37.0,23.0,2521.81,645.98,2841.83,3.5,6.21,2013-05-22,298,18.84,14.2,75.26,18.84,4.8
873,1.25,27.0,15.0,2515.01,647.36,2841.31,8.0,3.5,2013-05-23,274,16.93,13.81,81.97,16.93,6.44
874,1.1,28.5,15.5,2506.93,648.47,2839.45,8.5,4.0,2013-05-24,271,15.5,12.23,81.01,15.5,6.85
875,1.05,28.5,17.0,2497.57,649.33,2836.31,22.0,6.5,2013-05-25,93,15.91,10.96,73.6,15.91,6.25
876,0.6,20.5,11.5,2486.95,649.93,2831.92,18.75,4.0,2013-05-26,107,16.88,10.96,69.94,16.84,6.5
877,1.45,28.0,14.5,2475.1,650.28,2826.27,0.0,4.0,2013-05-27,397,16.33,12.46,78.0,16.33,5.5
878,1.75,35.5,23.0,2462.03,650.38,2819.4,0.0,3.0,2013-05-28,345,16.08,12.92,81.67,16.08,5.12
879,1.2,21.0,11.0,2447.76,650.26,2811.32,3.0,2.0,2013-05-29,290,17.28,13.2,77.34,17.28,11.28
880,0.9,20.0,10.0,2432.31,649.88,2802.05,11.5,2.0,2013-05-30,114,17.58,13.8,78.9,17.56,8.58
881,0.95,31.5,18.0,2415.71,649.27,2791.61,11.25,4.0,2013-05-31,207,16.0,12.12,78.46,16.0,6.2
882,0.8,24.0,15.5,2397.96,648.42,2780.01,0.4,2.0,2013-06-01,120,19.12,13.33,71.35,19.12,5.71
883,1.0,20.5,13.0,2379.09,647.35,2767.27,2.5,1.75,2013-06-02,108,18.27,14.0,76.41,18.27,5.08
884,1.5,27.5,12.5,2359.11,646.04,2753.42,2.0,4.0,2013-06-03,3,16.46,13.75,84.08,16.46,5.62
885,1.2,44.0,18.0,2338.05,644.52,2738.46,0.75,4.0,2013-06-04,312,15.73,10.46,72.72,15.73,4.69
886,1.2,39.5,20.5,2315.93,642.77,2722.42,0.0,5.0,2013-06-05,1,18.04,10.46,65.83,17.85,4.5
887,2.45,59.5,32.5,2292.76,640.81,2705.31,0.0,6.5,2013-06-06,1,19.33,11.12,61.3,19.33,5.29
888,2.15,75.0,52.5,2268.56,638.64,2687.16,22.75,8.0,2013-06-07,355,19.41,11.56,63.89,19.27,4.74
889,1.1,48.0,36.5,2243.35,636.25,2667.97,40.0,6.0,2013-06-08,111,18.36,13.04,72.65,18.34,4.72
890,0.8,37.5,28.5,2217.16,633.66,2647.78,42.25,4.0,2013-06-09,97,18.4,13.08,72.93,18.38,6.32
891,1.2,39.0,24.0,2189.99,630.87,2626.58,7.42,3.0,2013-06-10,462,19.54,12.33,66.17,19.52,4.96
892,1.45,53.0,32.5,2161.87,627.88,2604.42,1.0,6.0,2013-06-11,378,19.92,13.6,67.54,19.92,4.84
893,1.4,42.0,27.0,2132.82,624.69,2581.29,7.0,4.0,2013-06-12,1,19.29,15.21,78.41,19.29,4.67
894,1.23,40.5,27.0,2102.86,621.3,2557.22,1.12,3.0,2013-06-13,1,18.68,14.72,78.44,18.68,4.48
895,1.45,57.0,30.5,2072.0,617.73,2532.23,4.5,5.32,2013-06-14,303,18.21,12.13,70.64,18.09,4.75
896,1.2,38.0,25.0,2040.27,613.97,2506.33,21.0,6.0,2013-06-15,104,15.71,11.29,75.58,15.71,6.75
897,0.85,27.5,22.0,2007.68,610.03,2479.55,19.5,3.0,2013-06-16,114,17.64,13.64,77.86,17.64,4.96
898,1.2,26.0,10.5,1974.25,605.91,2451.9,3.0,2.0,2013-06-17,433,18.35,13.96,75.92,18.35,9.27
899,0.95,32.0,20.5,1940.0,601.61,2423.4,0.0,4.0,2013-06-18,373,17.24,12.24,74.3,17.24,4.48
900,1.2,34.0,23.0,1904.96,597.14,2394.06,0.0,4.5,2013-06-19,280,18.42,12.62,71.64,18.42,5.21
901,1.7,53.0,38.0,1869.13,592.5,2363.9,0.0,7.0,2013-06-20,348,18.07,14.44,79.64,18.07,4.3
902,1.0,38.75,18.5,1832.54,587.7,2332.95,22.0,5.5,2013-06-21,294,20.54,13.5,66.4,20.54,9.28
903,1.0,24.5,12.0,1795.21,582.73,2301.22,10.5,4.0,2013-06-22,1,20.58,10.12,53.89,20.42,10.75
904,0.9,32.0,15.0,1757.16,577.6,2268.73,12.5,8.5,2013-06-23,101,15.29,10.24,72.26,15.29,6.48
905,0.85,21.0,11.0,1718.4,572.32,2235.49,2.91,4.5,2013-06-24,405,15.9,13.17,84.0,15.9,6.93
906,1.45,24.5,19.0,1678.95,566.88,2201.53,-5.89,2.0,2013-06-25,1,16.68,14.61,87.61,16.68,4.54
907,1.6,22.5,17.0,1638.84,561.3,2166.85,-11.22,3.0,2013-06-26,294,17.17,14.2,83.59,17.14,3.87
908,1.8,38.5,23.0,1598.08,555.56,2131.49,-13.46,6.0,2013-06-27,273,18.48,14.56,78.35,18.48,3.68
909,1.45,41.5,26.5,1556.7,549.69,2095.45,-13.02,6.0,2013-06-28,289,19.35,14.81,76.23,19.35,4.38
910,1.0,28.5,16.0,1514.7,543.67,2058.76,-10.3,4.0,2013-06-29,97,20.5,14.85,72.95,20.5,8.35
911,1.0,22.0,12.5,1472.11,537.52,2021.44,-5.69,3.0,2013-06-30,77,18.33,14.93,81.46,18.33,5.89
912,1.1,13.5,10.5,1428.95,531.24,1983.49,0.0,3.0,2013-07-01,407,15.84,13.04,84.28,15.84,6.4
913,1.45,21.0,14.5,1385.24,524.83,1944.94,22.5,5.0,2013-07-02,1,14.36,11.64,83.88,14.36,8.36
914,0.6,24.5,12.58,1340.99,518.29,1905.81,18.0,4.0,2013-07-03,286,16.42,11.42,72.9,16.42,7.08
915,0.8,25.0,15.5,1296.23,511.63,1866.11,0.0,3.0,2013-07-04,280,16.92,11.67,73.16,16.89,6.0
916,1.1,35.0,19.5,1250.98,504.85,1825.86,0.0,5.0,2013-07-05,263,18.7,10.91,64.59,18.61,4.78
917,1.45,35.0,16.5,1205.24,497.95,1785.09,0.0,6.5,2013-07-06,115,20.21,10.04,55.74,20.02,4.79
918,1.85,40.5,19.5,1159.05,490.95,1743.8,2.0,6.0,2013-07-07,124,20.21,9.88,53.91,20.16,4.79
919,1.1,15.5,9.0,1112.42,483.83,1702.02,7.5,6.0,2013-07-08,359,16.83,13.21,79.66,16.83,6.86
920,0.9,21.0,14.0,1065.37,476.61,1659.76,21.5,6.0,2013-07-09,208,15.58,12.79,83.56,15.58,8.08
921,0.8,29.0,14.0,1017.92,469.28,1617.05,18.34,4.5,2013-07-10,341,16.46,11.29,72.23,16.46,7.0
922,0.7,26.5,15.5,970.09,461.85,1573.89,0.0,4.0,2013-07-11,295,16.1,10.93,72.19,16.1,6.1
923,1.05,32.5,18.0,921.9,454.33,1530.31,1.0,5.0,2013-07-12,1,17.75,8.54,58.16,17.55,5.42
924,1.1,34.0,18.5,873.36,446.72,1486.33,0.0,5.0,2013-07-13,98,19.38,10.46,57.92,19.38,4.33
925,1.8,65.5,33.5,824.5,439.02,1441.96,4.5,6.25,2013-07-14,70,19.79,11.71,61.67,19.79,4.25
926,1.3,35.5,16.0,775.33,431.23,1397.22,12.75,5.0,2013-07-15,417,18.5,11.88,67.05,18.5,6.21
927,1.4,34.5,21.0,725.87,423.36,1352.13,14.5,5.0,2013-07-16,269,15.64,11.16,76.48,15.59,5.84
928,1.6,68.5,34.5,676.15,415.41,1306.7,0.0,4.5,2013-07-17,1,16.93,9.37,66.28,16.72,4.89
929,1.85,50.5,29.0,626.18,407.39,1260.97,0.25,5.5,2013-07-18,261,20.12,7.96,48.09,19.81,8.27
930,1.5,40.25,20.5,575.97,399.29,1214.93,1.25,8.0,2013-07-19,233,17.64,11.89,70.18,17.6,5.57
931,0.8,28.0,16.5,525.56,391.12,1168.61,12.5,2.0,2013-07-20,88,19.75,13.71,70.14,19.75,7.92
932,0.9,25.5,12.5,474.96,382.89,1122.03,24.0,2.5,2013-07-21,77,22.57,14.93,62.79,22.57,11.29
933,1.3,21.0,10.5,424.18,374.6,1075.21,3.5,3.0,2013-07-22,328,18.15,14.69,80.67,18.15,5.96
934,1.25,19.5,11.0,373.25,366.24,1028.16,4.0,4.0,2013-07-23,240,10.11,7.79,85.52,8.66,7.75
935,1.45,26.0,15.0,322.18,357.84,980.91,11.75,5.0,2013-07-24,253,7.12,3.81,79.63,4.11,9.15
936,1.3,17.5,12.0,271.0,349.38,933.46,11.5,3.0,2013-07-25,187,8.88,6.36,84.42,7.12,6.8
937,1.3,23.5,12.5,219.72,340.87,885.84,14.5,4.0,2013-07-26,197,11.42,8.46,82.12,11.05,8.19
938,0.95,29.0,15.5,168.36,332.31,838.07,26.25,4.0,2013-07-27,103,13.26,9.11,77.0,13.26,6.93
939,1.2,37.5,23.0,116.94,323.71,790.16,5.5,4.0,2013-07-28,62,13.85,7.04,68.22,13.77,3.62
940,1.3,39.5,21.0,65.49,315.08,742.13,0.25,8.43,2013-07-29,296,14.21,5.21,59.49,14.17,5.17
941,1.3,48.5,27.5,14.01,306.41,694.0,0.0,7.0,2013-07-30,1,14.48,6.15,65.19,14.15,4.74
942,1.4,45.5,27.5,-37.47,297.7,645.78,0.0,6.0,2013-07-31,208,18.04,6.5,53.81,17.78,4.21
943,3.3,89.0,51.5,-88.93,288.97,597.5,0.38,10.5,2013-08-01,208,19.87,7.57,49.57,19.56,3.91
944,2.95,76.5,34.5,-140.36,280.21,549.18,0.0,8.0,2013-08-02,209,20.58,6.79,45.21,20.21,5.12
945,1.6,57.0,33.0,-191.73,271.43,500.82,33.75,9.5,2013-08-03,62,21.29,7.62,44.44,20.88,4.88
946,1.2,46.0,27.5,-243.03,262.64,452.45,17.75,4.0,2013-08-04,80,20.62,8.38,51.32,20.25,7.5
947,1.2,42.5,25.0,-294.23,253.82,404.09,32.0,5.5,2013-08-05,276,17.27,11.92,72.72,17.21,7.15
948,1.3,45.0,27.0,-345.33,245.0,355.76,5.5,4.0,2013-08-06,246,16.96,12.5,76.09,16.96,6.32
949,1.1,56.5,27.5,-396.29,236.16,307.46,7.0,4.0,2013-08-07,235,18.92,10.5,60.23,18.86,4.71
950,0.95,44.0,19.0,-447.1,227.32,259.23,1.5,3.5,2013-08-08,1,22.08,9.25,46.62,21.79,7.25
951,1.55,49.5,20.5,-497.74,218.48,211.07,0.0,4.5,2013-08-09,169,22.88,9.38,43.75,22.67,4.71
952,1.1,56.0,19.5,-548.2,209.64,163.01,33.5,2.5,2013-08-10,67,23.0,9.04,42.71,22.76,8.42
953,0.85,25.0,9.5,-598.44,200.81,115.06,20.5,3.0,2013-08-11,40,13.96,5.92,59.59,13.89,10.42
954,1.45,41.0,22.0,-648.47,191.98,67.24,1.0,6.04,2013-08-12,252,15.71,5.96,57.55,14.96,6.88
955,1.35,65.0,36.0,-698.24,183.16,19.57,0.25,7.0,2013-08-13,1,20.92,10.0,52.09,20.89,4.33
956,1.05,17.5,9.0,-747.76,174.36,-27.93,20.5,5.0,2013-08-14,177,13.38,10.79,85.38,12.66,10.56
957,1.3,20.0,10.0,-796.99,165.58,-75.24,22.5,5.0,2013-08-15,158,10.27,6.87,79.52,9.08,10.45
958,1.05,34.0,16.0,-845.92,156.82,-122.36,23.5,4.0,2013-08-16,182,12.88,8.08,74.71,12.53,7.6
959,1.05,37.0,22.5,-894.52,148.08,-169.25,27.5,7.5,2013-08-17,59,14.04,11.0,82.13,14.04,8.6
960,0.55,17.0,9.0,-942.79,139.38,-215.9,35.5,2.5,2013-08-18,56,13.88,10.23,78.88,13.88,10.31
961,0.8,28.0,14.5,-990.7,130.7,-262.3,18.25,5.0,2013-08-19,247,15.29,10.29,72.8,15.29,7.5
962,0.8,35.0,16.0,-1038.23,122.06,-308.42,15.5,6.5,2013-08-20,174,16.68,10.56,69.46,16.6,6.84
963,1.05,34.5,18.0,-1085.37,113.46,-354.25,3.25,4.5,2013-08-21,1,18.96,9.08,58.02,18.71,6.75
964,1.2,38.0,19.0,-1132.08,104.9,-399.78,0.0,3.3,2013-08-22,177,21.61,9.22,47.1,21.47,7.35
965,1.5,62.5,31.0,-1178.37,96.38,-444.97,25.25,7.0,2013-08-23,168,20.58,11.42,59.29,20.4,6.71
966,1.05,36.0,23.5,-1224.2,87.91,-489.82,36.07,6.0,2013-08-24,56,18.71,13.46,73.51,18.71,6.54
967,1.0,40.5,26.5,-1269.56,79.5,-534.3,2.75,6.0,2013-08-25,1,21.56,10.64,55.75,21.19,4.08
968,1.2,34.0,15.5,-1314.42,71.13,-578.4,8.75,4.0,2013-08-26,244,18.35,12.08,68.2,18.35,5.35
969,1.25,23.0,11.0,-1358.78,62.83,-622.1,4.25,3.0,2013-08-27,181,14.0,9.17,73.18,14.0,8.78
970,1.2,39.0,17.5,-1402.6,54.59,-665.39,16.0,7.5,2013-08-28,177,11.58,6.0,69.44,10.84,7.85
971,0.9,42.5,20.0,-1445.88,46.41,-708.24,24.5,8.0,2013-08-29,143,13.96,7.21,66.46,13.56,7.83
972,0.95,46.5,25.0,-1488.59,38.31,-750.64,3.5,5.0,2013-08-30,117,16.72,8.04,63.73,16.57,4.64
973,1.15,47.5,24.5,-1530.71,30.27,-792.57,10.0,7.5,2013-08-31,36,20.17,6.29,44.13,19.9,3.75
974,0.95,54.0,32.0,-1572.22,22.31,-834.0,66.5,7.0,2013-09-01,47,22.37,5.88,36.3,21.9,4.38
975,1.3,55.5,28.0,-1613.12,14.43,-874.93,26.25,5.0,2013-09-02,192,22.42,7.62,44.08,21.81,6.67
976,1.65,39.5,24.0,-1653.36,6.63,-915.34,10.75,6.0,2013-09-03,167,20.13,11.71,60.31,20.04,4.83
977,1.15,21.5,10.5,-1692.95,-1.08,-955.21,12.5,4.0,2013-09-04,142,15.6,12.04,79.46,15.6,9.0
978,1.45,28.5,17.0,-1731.85,-8.71,-994.51,17.25,7.5,2013-09-05,133,14.37,11.56,83.36,14.37,8.44
979,0.85,25.0,10.0,-1770.06,-16.24,-1033.24,25.5,6.0,2013-09-06,137,17.12,11.76,71.7,17.12,9.12
980,0.9,27.0,15.0,-1807.54,-23.68,-1071.37,33.25,6.0,2013-09-07,30,17.92,11.36,67.31,17.9,7.04
981,0.7,25.5,14.5,-1844.28,-31.02,-1108.88,21.5,4.5,2013-09-08,38,19.24,9.96,59.95,19.04,5.16
982,1.2,46.5,26.5,-1880.27,-38.26,-1145.77,19.5,9.0,2013-09-09,182,21.21,9.04,47.51,21.09,5.67
983,1.15,58.0,26.0,-1915.48,-45.39,-1182.01,10.25,10.5,2013-09-10,128,19.83,10.0,55.68,19.73,5.67
984,1.15,56.5,27.0,-1949.9,-52.42,-1217.57,17.75,7.0,2013-09-11,127,18.75,12.92,70.81,18.75,6.92
985,0.9,42.5,20.0,-1983.5,-59.33,-1252.46,4.25,5.0,2013-09-12,120,21.75,10.83,55.22,21.44,5.08
986,1.05,43.0,21.5,-2016.26,-66.13,-1286.64,11.25,7.5,2013-09-13,115,23.08,8.04,40.53,22.66,5.04
987,0.95,40.5,23.5,-2048.18,-72.81,-1320.1,16.75,7.5,2013-09-14,45,23.7,6.09,33.87,23.03,5.13
988,1.1,53.0,29.0,-2079.22,-79.36,-1352.82,30.5,9.0,2013-09-15,42,24.46,6.29,32.82,23.81,4.88
989,0.9,51.0,28.0,-2109.37,-85.79,-1384.78,26.0,8.0,2013-09-16,149,23.04,10.33,46.16,22.78,6.54
990,0.9,25.0,15.5,-2138.62,-92.09,-1415.97,14.5,2.5,2013-09-17,105,19.04,15.04,77.82,19.04,9.21
991,1.45,30.0,18.5,-2166.93,-98.26,-1446.36,10.5,5.5,2013-09-18,99,15.37,12.41,82.62,15.37,8.19
992,1.6,29.0,19.0,-2194.3,-104.3,-1475.95,7.0,7.0,2013-09-19,91,16.65,14.04,84.71,16.65,7.23
993,1.15,33.5,21.0,-2220.7,-110.19,-1504.71,4.75,5.5,2013-09-20,86,19.83,15.48,77.7,19.87,5.91
994,0.8,34.0,15.5,-2246.11,-115.94,-1532.62,31.0,3.0,2013-09-21,28,24.83,13.92,55.99,24.4,9.33
995,0.95,27.5,18.0,-2270.52,-121.55,-1559.66,28.75,2.0,2013-09-22,36,19.52,15.96,80.21,19.52,5.96
996,1.1,19.5,11.0,-2293.91,-127.01,-1585.83,15.0,3.0,2013-09-23,119,17.81,13.84,78.96,17.75,6.87
997,1.4,28.5,18.0,-2316.25,-132.32,-1611.1,6.75,3.0,2013-09-24,83,17.64,14.25,80.75,17.64,6.18
998,1.05,19.5,10.0,-2337.54,-137.47,-1635.44,22.25,3.0,2013-09-25,95,12.96,8.04,72.36,12.79,10.85
999,1.0,28.5,11.5,-2357.74,-142.46,-1658.86,30.25,6.5,2013-09-26,88,13.12,7.33,69.45,13.03,10.79
1000,0.95,28.5,17.0,-2376.84,-147.29,-1681.32,28.75,6.5,2013-09-27,63,13.58,6.88,65.25,13.31,9.46
1001,0.75,27.0,12.5,-2394.83,-151.95,-1702.81,33.75,4.0,2013-09-28,17,16.12,9.8,68.1,16.12,8.92
1002,0.95,23.5,15.0,-2411.67,-156.45,-1723.3,10.0,2.0,2013-09-29,24,16.54,13.0,79.97,16.54,5.58
1003,2.0,52.0,34.0,-2427.36,-160.77,-1742.8,0.0,5.0,2013-09-30,112,17.42,14.73,84.29,17.42,3.85
1004,1.45,35.0,20.5,-2441.88,-164.91,-1761.27,17.25,4.0,2013-10-01,79,19.96,15.36,75.94,19.96,7.04
1005,1.3,29.5,17.0,-2455.2,-168.88,-1778.69,16.0,5.0,2013-10-02,82,18.08,15.16,83.48,18.08,6.54
1006,1.25,37.5,24.34,-2467.31,-172.67,-1795.05,1.25,2.0,2013-10-03,87,18.92,15.68,81.68,18.92,4.0
1007,1.2,21.5,11.99,-2478.18,-176.27,-1810.34,10.25,2.0,2013-10-04,81,20.16,15.6,75.87,20.16,8.42
1008,1.1,27.0,13.5,-2487.81,-179.68,-1824.53,35.75,3.0,2013-10-05,21,16.66,13.1,79.66,16.66,8.59
1009,0.7,20.5,8.0,-2496.16,-182.89,-1837.61,37.75,5.0,2013-10-06,18,14.72,8.84,69.12,14.72,8.64
1010,0.9,24.5,9.8,-2503.23,-185.91,-1849.55,24.31,4.48,2013-10-07,121,13.68,10.21,79.64,13.68,11.04
1011,1.1,28.5,15.5,-2508.98,-188.74,-1860.34,32.5,6.0,2013-10-08,81,14.27,9.88,75.67,14.27,10.27
1012,0.85,28.5,14.0,-2513.41,-191.36,-1869.97,27.0,6.0,2013-10-09,65,16.58,9.63,64.82,16.55,8.75
1013,0.95,33.5,16.5,-2516.49,-193.77,-1878.41,23.0,7.0,2013-10-10,69,18.08,10.88,64.96,17.98,7.58
1014,0.75,37.5,19.0,-2518.21,-195.98,-1885.65,19.5,5.0,2013-10-11,71,18.92,11.25,63.34,18.81,6.54
1015,0.7,27.0,14.0,-2518.54,-197.97,-1891.66,11.5,5.0,2013-10-12,12,19.79,10.21,55.7,19.63,5.0
1016,0.95,32.0,18.0,-2517.47,-199.74,-1896.44,21.25,5.0,2013-10-13,23,22.37,10.54,49.12,22.28,5.42
1017,1.15,39.0,23.5,-2514.98,-201.3,-1899.96,29.75,5.21,2013-10-14,1,25.17,12.79,47.46,24.89,5.38
1018,1.1,27.0,19.0,-2511.05,-202.64,-1902.2,29.75,2.0,2013-10-15,96,20.68,16.18,76.19,20.68,8.04
1019,1.7,25.0,19.0,-2505.65,-203.74,-1903.15,14.5,4.0,2013-10-16,72,18.2,15.8,85.94,18.2,6.57
1020,1.55,32.0,21.5,-2498.78,-204.62,-1902.8,26.75,6.0,2013-10-17,79,17.84,14.76,82.51,17.84,6.44
1021,1.5,32.5,21.5,-2490.41,-205.27,-1901.11,7.75,5.0,2013-10-18,62,19.78,15.22,75.84,19.78,5.44
1022,1.25,36.0,25.5,-2480.52,-205.68,-1898.07,20.25,5.0,2013-10-19,24,19.5,13.62,70.41,19.5,5.21
1023,0.8,25.0,15.19,-2469.09,-205.85,-1893.68,33.25,5.0,2013-10-20,12,22.17,11.83,59.02,21.72,6.58
1024,1.1,36.5,18.5,-2456.11,-205.78,-1887.9,30.75,3.0,2013-10-21,107,26.08,13.58,48.64,25.7,6.92
1025,1.4,28.5,17.0,-2441.56,-205.46,-1880.71,35.0,4.0,2013-10-22,65,20.92,15.92,73.89,20.93,8.17
1026,1.0,34.5,18.0,-2425.41,-204.89,-1872.12,30.5,3.0,2013-10-23,80,22.65,16.0,67.29,22.7,6.35
1027,1.4,39.0,20.5,-2407.65,-204.07,-1862.08,37.25,3.5,2013-10-24,58,24.48,16.93,64.52,24.54,7.07
1028,1.5,23.5,16.0,-2388.26,-202.99,-1850.59,36.5,4.0,2013-10-25,50,20.15,17.04,82.36,20.15,9.89
1029,0.8,26.0,16.5,-2367.22,-201.66,-1837.63,26.5,3.0,2013-10-26,19,24.05,15.95,63.74,23.93,7.16
1030,0.95,31.0,19.0,-2344.51,-200.06,-1823.19,34.5,4.0,2013-10-27,11,22.09,15.61,67.32,22.13,9.13
1031,1.05,37.0,13.0,-2320.11,-198.19,-1807.23,39.75,6.0,2013-10-28,64,16.29,10.62,69.61,16.29,11.88
1032,1.3,46.5,19.0,-2294.01,-196.06,-1789.75,20.75,8.0,2013-10-29,94,15.42,10.04,70.45,15.42,9.62
1033,1.15,40.5,19.5,-2266.18,-193.65,-1770.72,25.75,7.0,2013-10-30,1,17.21,11.83,71.33,17.21,7.75
1034,0.9,39.5,19.0,-2236.6,-190.97,-1750.14,22.25,6.0,2013-10-31,53,17.44,13.3,76.85,17.44,9.04
1035,0.85,37.0,14.5,-2205.26,-188.0,-1727.98,24.5,6.0,2013-11-01,70,18.33,12.92,70.93,18.33,9.08
1036,0.6,22.5,11.0,-2172.14,-184.76,-1704.22,52.0,3.21,2013-11-02,13,21.08,13.52,64.41,21.02,8.12
1037,0.75,24.0,16.0,-2137.21,-181.22,-1678.84,45.25,4.5,2013-11-03,20,24.37,12.74,52.0,24.02,6.0
1038,0.9,38.0,23.5,-2100.47,-177.4,-1651.83,14.0,4.54,2013-11-04,83,20.33,15.19,74.02,20.33,6.25
1039,1.2,28.5,11.5,-2061.88,-173.28,-1623.18,20.14,4.0,2013-11-05,54,16.75,12.79,77.83,16.84,10.75
1040,1.5,25.5,14.5,-2021.44,-168.87,-1592.85,9.5,3.0,2013-11-06,64,15.08,12.4,84.04,15.08,9.56
1041,1.45,24.5,15.5,-1979.11,-164.16,-1560.84,11.75,4.0,2013-11-07,34,16.96,12.96,78.9,16.96,8.24
