number,value,datetime_start,datetime_complete,duration,params_lags,params_lags_past_covariates,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
103,53510.36238953339,2025-11-10 15:18:53.011741,2025-11-10 15:19:11.405585,0 days 00:00:18.393844,28,6,0.3261065708450885,2,647,0.42314095224606485,COMPLETE
104,70864.74124895126,2025-11-10 15:19:11.418069,2025-11-10 15:19:20.079763,0 days 00:00:08.661694,2,2,0.4975302119009614,3,308,0.4671831809286313,COMPLETE
105,76330.30864556547,2025-11-10 15:19:20.091157,2025-11-10 15:19:31.202146,0 days 00:00:11.110989,29,2,0.0002231599086946651,2,499,0.5201768344802105,COMPLETE
106,51773.51311940867,2025-11-10 15:19:31.277866,2025-11-10 15:19:39.692301,0 days 00:00:08.414435,28,4,0.21044811466675264,2,275,0.4740153293606014,COMPLETE
107,51956.37038995744,2025-11-10 15:19:39.704741,2025-11-10 15:19:49.499366,0 days 00:00:09.794625,28,5,0.10132126693668739,2,300,0.4710551200344589,COMPLETE
108,52612.944577175294,2025-11-10 15:19:49.511176,2025-11-10 15:20:01.926003,0 days 00:00:12.414827,26,5,0.13900368516043266,2,444,0.4648336136865518,COMPLETE
109,52016.15429683669,2025-11-10 15:20:01.947069,2025-11-10 15:20:13.433632,0 days 00:00:11.486563,25,6,0.10589011307821553,2,318,0.40954020311087586,COMPLETE
110,58800.68638426847,2025-11-10 15:20:13.445740,2025-11-10 15:20:55.963392,0 days 00:00:42.517652,28,4,0.1497068924158774,7,359,0.4798748041452897,COMPLETE
111,52128.92836201943,2025-11-10 15:20:55.998445,2025-11-10 15:21:03.494891,0 days 00:00:07.496446,30,3,0.23575062368962893,2,263,0.3615751064008814,COMPLETE
112,52284.45214391952,2025-11-10 15:21:03.510324,2025-11-10 15:21:12.952372,0 days 00:00:09.442048,27,8,0.048779702141897835,2,226,0.313849100262074,COMPLETE
113,52061.27177214207,2025-11-10 15:21:12.964748,2025-11-10 15:21:21.590527,0 days 00:00:08.625779,28,5,0.18861830184722456,2,193,0.5313636020642505,COMPLETE
114,52213.14891091597,2025-11-10 15:21:21.603802,2025-11-10 15:21:29.666263,0 days 00:00:08.062461,30,4,0.2743378970503428,2,268,0.4265620381320946,COMPLETE
115,53066.39876695456,2025-11-10 15:21:29.708113,2025-11-10 15:21:50.531071,0 days 00:00:20.822958,27,2,0.20590352107952023,3,784,0.3907490069744411,COMPLETE
116,53288.71815171157,2025-11-10 15:21:50.543483,2025-11-10 15:22:01.295801,0 days 00:00:10.752318,29,7,0.10511936053965759,3,208,0.47430186818410547,COMPLETE
117,52494.93982562233,2025-11-10 15:22:01.307405,2025-11-10 15:22:08.562744,0 days 00:00:07.255339,14,2,0.43735284096611704,2,268,0.4530274718144382,COMPLETE
118,59528.14388101137,2025-11-10 15:22:08.575471,2025-11-10 15:23:08.591557,0 days 00:01:00.016086,28,3,0.07585669880207224,8,352,0.5627359086772996,COMPLETE
119,77139.45662755605,2025-11-10 15:23:08.605048,2025-11-10 15:23:19.348794,0 days 00:00:10.743746,26,1,1.0060680911284271e-05,2,502,0.5188259794812454,COMPLETE
120,52585.29719172996,2025-11-10 15:23:19.361515,2025-11-10 15:23:27.973399,0 days 00:00:08.611884,29,3,0.48685510443350194,3,159,0.49503718097036825,COMPLETE
121,51510.53631372973,2025-11-10 15:23:27.984760,2025-11-10 15:23:34.710931,0 days 00:00:06.726171,30,1,0.3509069296727566,3,119,0.511363130026571,COMPLETE
122,51233.16874936643,2025-11-10 15:23:34.812904,2025-11-10 15:23:40.220473,0 days 00:00:05.407569,30,1,0.27754654212550955,2,94,0.5195298994133568,COMPLETE
123,51330.50878675174,2025-11-10 15:23:40.231873,2025-11-10 15:23:47.198170,0 days 00:00:06.966297,30,1,0.3178484801790661,3,140,0.5208995448603568,COMPLETE
124,52544.73804877846,2025-11-10 15:23:47.227873,2025-11-10 15:23:53.612805,0 days 00:00:06.384932,30,1,0.7806635561921574,3,97,0.5673784990914659,COMPLETE
125,51593.99138097063,2025-11-10 15:23:53.636269,2025-11-10 15:24:00.693528,0 days 00:00:07.057259,30,1,0.5324373375068858,3,122,0.5452667567037105,COMPLETE
