number,value,datetime_start,datetime_complete,duration,params_criterion,params_lags,params_lags_past_covariates,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_usar_max_depth,state
70,63448.223334525734,2025-11-10 14:29:45.655306,2025-11-10 14:31:13.425713,0 days 00:01:27.770407,absolute_error,29,25,1,98,217,True,COMPLETE
71,52969.651705957636,2025-11-10 14:31:13.451610,2025-11-10 14:31:44.995136,0 days 00:00:31.543526,squared_error,28,30,3,10,37,True,COMPLETE
72,53105.84801994992,2025-11-10 14:31:45.008189,2025-11-10 14:32:16.630479,0 days 00:00:31.622290,squared_error,30,30,3,10,49,True,COMPLETE
73,53655.85710671332,2025-11-10 14:32:16.652902,2025-11-10 14:32:47.939455,0 days 00:00:31.286553,squared_error,25,29,4,12,37,True,COMPLETE
74,52825.49580117039,2025-11-10 14:32:47.956339,2025-11-10 14:33:19.015592,0 days 00:00:31.059253,squared_error,28,11,4,11,29,True,COMPLETE
75,53037.39015357969,2025-11-10 14:33:19.036185,2025-11-10 14:33:49.882085,0 days 00:00:30.845900,squared_error,29,11,5,11,29,True,COMPLETE
76,52768.2575283836,2025-11-10 14:33:49.894748,2025-11-10 14:34:20.844514,0 days 00:00:30.949766,squared_error,23,5,2,11,44,True,COMPLETE
77,52815.032821500674,2025-11-10 14:34:20.857626,2025-11-10 14:34:52.367720,0 days 00:00:31.510094,squared_error,21,3,2,11,80,True,COMPLETE
78,53422.082582311574,2025-11-10 14:34:52.392359,2025-11-10 14:35:23.742134,0 days 00:00:31.349775,poisson,21,5,2,13,71,True,COMPLETE
79,55037.532838649684,2025-11-10 14:35:23.755735,2025-11-10 14:35:55.118649,0 days 00:00:31.362914,squared_error,18,6,1,17,59,True,COMPLETE
80,52965.68978935947,2025-11-10 14:35:55.131323,2025-11-10 14:36:52.486410,0 days 00:00:57.355087,friedman_mse,23,7,4,11,119,True,COMPLETE
81,53299.786628639195,2025-11-10 14:36:52.513625,2025-11-10 14:37:23.482520,0 days 00:00:30.968895,squared_error,20,3,2,12,44,True,COMPLETE
82,56234.60274468589,2025-11-10 14:37:23.494475,2025-11-10 14:37:54.687789,0 days 00:00:31.193314,squared_error,22,2,12,13,54,True,COMPLETE
83,52749.88505184542,2025-11-10 14:37:54.699406,2025-11-10 14:38:26.837869,0 days 00:00:32.138463,squared_error,13,5,2,11,86,True,COMPLETE
84,60610.60371176411,2025-11-10 14:38:26.852364,2025-11-10 14:38:58.383364,0 days 00:00:31.531000,squared_error,14,5,2,47,81,True,COMPLETE
85,53393.5461107212,2025-11-10 14:38:58.435303,2025-11-10 14:39:47.545351,0 days 00:00:49.110048,squared_error,12,7,1,12,96,True,COMPLETE
86,52791.303974526854,2025-11-10 14:39:47.574023,2025-11-10 14:40:43.680193,0 days 00:00:56.106170,squared_error,15,3,4,11,104,False,COMPLETE
87,52741.81181360218,2025-11-10 14:40:43.692941,2025-11-10 14:41:41.606365,0 days 00:00:57.913424,squared_error,15,3,2,11,138,False,COMPLETE
88,53829.845739139455,2025-11-10 14:41:41.631971,2025-11-10 14:42:39.415119,0 days 00:00:57.783148,squared_error,15,3,2,14,139,False,COMPLETE
89,55827.54799147295,2025-11-10 14:42:39.431883,2025-11-10 14:43:37.909994,0 days 00:00:58.478111,squared_error,16,1,1,23,173,False,COMPLETE
90,52734.341977330376,2025-11-10 14:43:37.923039,2025-11-10 14:46:03.258570,0 days 00:02:25.335531,squared_error,15,3,4,11,476,False,COMPLETE
91,52716.61043369087,2025-11-10 14:46:03.283280,2025-11-10 14:48:03.660093,0 days 00:02:00.376813,squared_error,13,3,4,11,384,False,COMPLETE
92,60286.63456742802,2025-11-10 14:48:03.679131,2025-11-10 14:50:45.852342,0 days 00:02:42.173211,squared_error,13,3,20,15,561,False,COMPLETE
93,52834.210693941175,2025-11-10 14:50:45.865743,2025-11-10 14:52:51.577787,0 days 00:02:05.712044,squared_error,13,5,5,11,416,False,COMPLETE
94,52931.961909988684,2025-11-10 14:52:51.621512,2025-11-10 14:56:19.242516,0 days 00:03:27.621004,squared_error,17,2,4,12,732,False,COMPLETE
95,62010.32930316155,2025-11-10 14:56:19.256565,2025-11-10 14:58:57.702579,0 days 00:02:38.446014,absolute_error,15,3,3,64,529,False,COMPLETE
96,53423.99130808128,2025-11-10 14:58:57.715277,2025-11-10 15:00:46.798103,0 days 00:01:49.082826,squared_error,12,4,5,13,341,False,COMPLETE
97,53002.05263956599,2025-11-10 15:00:46.810925,2025-11-10 15:01:39.567539,0 days 00:00:52.756614,squared_error,14,6,2,11,109,False,COMPLETE
